route_code,route_name,location_id
5401,POBLACION,1
5402,ALIBIJADAN,1
5403,CANUMAY,1
5404,MANGERO,1
5405,PANSOY,1
5406,TALA,1
5407,CAMFLORA,1
5408,SAN LORENZO RUIZ (POB),1
5409,TALISAY,1
5201,POBLACION,2
5202,BADAJOS,2
5203,BUHANGIN,2
5204,BUSDAK,2
5205,CASAY,2
5206,DON JUAN VERCELUZ,2
5207,KAWAYAN I & II,2
5208,MABUNGA,2
5209,PAGSANGAHAN,2
5210,SILONGIN,2
5211,TAYUMAN (IBA/ILA),2
5212,STO. NINO,2
5213,INABUHAN,2
5214,BUTANGUID/NILANTANGAN,2
5215,NASALAAN,2
5216,HUYON-HUYON,2
5217,PUGON,2
5001,POBLACION,3
5002,ABUYON,3
5003,A. BONIFACIO,3
5004,BINAY,3
5005,BUENVISTA,3
5006,BUSOK-BUSOKAN,3
5007,CALWIT,3
5008,GUINHALINAN,3
5009,LAKDAYAN,3
5010,MAGITING,3
5011,MANLAMPONG,3
5012,PUNTA,3
5013,RIZAL,3
5014,SAN JUAN,3
5015,VIGO ( CENTRAL ),3
5016,VILLA REYES,3
5017,BANI,3
5018,SAN VICENTE,3
5019,SAN ISIDRO,3
5020,WHITE CLIFF,3
5021,VILLA AURIN,3
4801,POBLACION,4
4802,BAGONG SILANG,4
4803,BATABAT (SUR/NORTE),4
4804,BUKAL,4
4805,CADLIT,4
4806,CATULIN,4
4807,DELA PAZ,4
4808,HAGONGHONG,4
4809,LILUKIN,4
4810,SABANG PINAMASAGAN,4
4811,SABAN PIRIS,4
4812,"WASAY, IBABA",4
4813,"WASAY, ILAYA",4
4814,CAMA,4
4815,CABONG,4
4816,MABUTAG,4
4817,MANLANA,4
4818,SAN VICENTE,4
4819,VILLA BATABAT,4
4820,SAN PABLO,4
4821,DEL ROSARIO,4
4822,MABINI,4
4823,MAGALLANES,4
4824,SAN ISIDRO IBA./ILA,4
4825,BULO,4
4826,MALIGAYA (ESPERANIA),4
4827,VILLA VERONICA,4
4828,VILLA RODRIGO ( SAN PEDRO),4
4829,VILLA MAGSAYSAY,4
4830,VILLA AURORA,4
4831,SAN DIEGO,4
4832,RIZAL,4
4833,MASAYA,4
4834,BUENAVISTA,4
4835,SIAIN,4
4601,POBLACION,5
4602,AJOS/STO. NINO,5
4603,AMUGUIS,5
4604,BAGUPAYE/MALIBAGO SITIO,5
4605,BOLO,5
4606,BUENAVISTA,5
4607,BUNTAYOG,5
4608,CAMBUGA (IBA/ILA),5
4609,CANUYEP,5
4610,F. NANADIEGO,5
4611,LATANGAN,5
4612,MATATAJA,5
4613,PAKIING,5
4614,PATABOG,5
4615,SAN ISIDRO,5
4616,SAN PEDRO,5
4617,STA. ROSA,5
4618,YUNI (ILAYA),5
4619,YUNI (IBABA),5
4620,ANONANG,5
4621,MABINI ( CAMBUGA ILA),5
4622,BAGONG SILANG,5
4623,MAGSAYSAY,5
4624,BURGOS,5
4625,SAGONGON,6
4401,POBLACION,6
4402,AJOS,6
4403,BOLO,6
4404,BULAGSONG,6
4405,CANCULAJAO,6
4406,CATUMBO,6
4407,CAWAYANIN,6
4408,CUTCUTAN,6
4409,DAHICAN,6
4410,DOONGAN (IBA/ILA),6
4411,GATASAN,6
4412,MACPAC,6
4413,MADULAO,6
4414,MT. SABANG,6
4415,NAVITAS,6
4416,PACABIT,6
4417,SAN ANTONIO (PALA),6
4418,SAN ISIDRO ( CEPRISAN),6
4419,SAN ROQUE AGRO,6
4420,STA. MARIA (DAO),6
4421,TAGABAS,6
4422,TAGBAKAN ( ILA/IBA) SILANGAN,6
4423,TUHIAN,6
4424,SAN VICENTE KAN/SIL,6
4425,MILAGROSA,6
4427,ANUSAN,6
4428,CAMANDIISON,6
4429,SAN PABLO (SUHA),6
4430,SAN ANTONIO (MACUPA),6
4432,SAN JOSE/ANYAO,6
4201,POBLACION,7
4202,BACONG ( IBA/ILA),7
4203,CABULUAN,7
4204,MALAYA,7
4205,MANGAYAO,7
4206,NIEVA,7
4207,OMON,7
4208,SAN IGNACIO (IBA/ILA),7
4209,SAN ISIDRO (IBA/ILA),7
4210,SAN JOSE,7
4211,SAN NICOLAS,7
4212,SAN VICENTE,7
4213,STA. MARIA,7
4214,SUMILANG,7
4215,SABANG,7
4216,RECTO,7
4217,VILLA RICA,7
4218,LAVIDES,7
4219,VILLA MERCEDES,7
4220,MAGSAYSAY,7
4001,POBLACION,8
4002,AMONTAY,8
4003,ANOS,8
4004,CALANTAS,8
4005,CANDANGAL,8
4006,LAHING,8
4007,LUCTOB,8
4008,MABINI (ILA/IBA),8
4009,MAMBOG,8
